Time: 1723802235.049208, CPU: 94.7%, Memory: 58.7%
Time: 1723802523.9745264, CPU: 93.2%, Memory: 59.6%
Time: 1723802807.3650093, CPU: 97.6%, Memory: 59.8%
Time: 1723803082.1490266, CPU: 93.1%, Memory: 59.6%
Time: 1723803359.3515682, CPU: 94.0%, Memory: 59.6%
Time: 1723803640.4609382, CPU: 96.4%, Memory: 59.6%
Time: 1723803916.5960622, CPU: 97.0%, Memory: 60.2%
Time: 1723804187.3702915, CPU: 95.8%, Memory: 59.5%
Time: 1723804459.6651418, CPU: 94.5%, Memory: 59.5%
Time: 1723804741.3290854, CPU: 94.2%, Memory: 59.5%
Time: 1723805015.8231473, CPU: 98.5%, Memory: 59.9%
Time: 1723805299.4530945, CPU: 97.0%, Memory: 60.5%
Time: 1723805590.5748818, CPU: 94.7%, Memory: 60.2%
Time: 1723805864.5114613, CPU: 92.6%, Memory: 60.4%
Time: 1723806145.956396, CPU: 95.7%, Memory: 60.6%
Time: 1723806428.501067, CPU: 91.1%, Memory: 60.6%
Time: 1723806708.520441, CPU: 92.1%, Memory: 60.0%
Time: 1723806991.2483675, CPU: 97.1%, Memory: 60.8%
Time: 1723807270.0190694, CPU: 94.9%, Memory: 60.8%
Time: 1723807547.2764242, CPU: 96.9%, Memory: 61.0%
Time: 1723807836.3277526, CPU: 95.5%, Memory: 60.9%
Time: 1723808126.0099306, CPU: 94.9%, Memory: 60.7%
Time: 1723808403.2673862, CPU: 94.8%, Memory: 60.5%
Time: 1723808689.4355428, CPU: 95.1%, Memory: 60.7%
Time: 1723808971.6001508, CPU: 94.3%, Memory: 60.5%
Time: 1723837021.9123015, CPU: 98.8%, Memory: 72.1%
Time: 1723850396.156029, CPU: 90.4%, Memory: 70.2%
Time: 1723866111.3775, CPU: 29.7%, Memory: 68.3%
Time: 1723882140.5212135, CPU: 29.0%, Memory: 68.7%
Time: 1723897185.0515342, CPU: 84.9%, Memory: 53.8%
Time: 1723908298.7145398, CPU: 82.8%, Memory: 56.4%
Time: 1723919559.4199607, CPU: 81.1%, Memory: 62.2%
Time: 1723931146.855433, CPU: 89.8%, Memory: 56.6%
Time: 1723942795.3650703, CPU: 92.1%, Memory: 51.3%
Time: 1723954075.7131023, CPU: 88.8%, Memory: 51.9%
