dataset,bert_name,p1,p3,p5,g_p1,g_p3,g_p5
eurlex4k,xlnet,0.858732212160414,0.7410090556274257,0.6196636481241915,0,0,0
eurlex4k,distilbert,0.8639068564036223,0.7396291504959035,0.6172833117723157,0,0,0
eurlex4k,bert-base,0.8615782664941786,0.7442863303147909,0.6246313065976714,0,0,0
eurlex4k,distilbert,0.8664941785252264,0.7410090556274257,0.6159379042690815,0,0,0
eurlex4k,Roberta,0.8618369987063389,0.7394566623544631,0.6206985769728331,0,0,0
wiki31k,bert-base,0.877720677146312,0.7720173317210802,0.6818621523579201,0,0,0
wiki31k,distilbert,0.87953446191052,0.7684401451027812,0.6734280532043531,0,0,0
wiki31k,xlnet,0.8659310761789601,0.7623438129786376,0.6731559854897219,0,0,0
wiki31k,Roberta,0.8783252720677146,0.7718158000806127,0.6816807738814994,0,0,0
wiki31k,distilbert,0.8766626360338573,0.7686920596533655,0.6750906892382104,0,0,0
